name,writer,original_language,genre,binding,publication,price,transaction_method,year,read_unread,rating,writer_gender
A Study of Spinoza,James Martineau,English,Non Fiction,Ebook,Macmillan and Co.,,None,2022,Partially read,None,Male
Astrophysics for people in hurry,Neil DeGrasse Tyson,English,Non Fiction,Ebook,W. W. Norton and Company,,None,2023,Yes,Moderate,Male
Pale Blue Dot,Carl Sagan,English,Non Fiction,Ebook,,,None,2021,Yes,Excellent,Male
Death in Venice,Thomas Mann,German,Fiction,Ebook,,,None,2022,Yes,Excellent,Male
The Diary of a country priest,Georges Bernanos,French,Fiction,Ebook,,,None,2022,Partially read,Moderate,Male
Thinking Fast and Slow,Daniel Kahneman,English,Non Fiction,Ebook,,,None,2023,Partially read,None,Male
A net of Fireflies- Japanese Haiku and Haiku Paintings,Harold Steward,Japanese,Poetry,Ebook,Charles E. Tuttle Company,,None,2022,No,None,Male
Basho's Journey,David Landis Barnhill,Japanese,Poetry,Ebook,State University of New York Press,,None,2022,No,None,Male
Gleanings in Buddha Fields,Lafcadio Hearn,English,Non Fiction,Ebook,Boston and New York Houghton Mifflin Company,,None,2022,No,None,Male
Japan- An Attempt at Interpretation,Lafcadio Hearn,English,Non Fiction,Ebook,Project Gutenberg Ebook,,None,2022,No,None,Male
Japanese Death Poems,Yoel Hoffmann,Japanese,Poetry,Ebook,Charles E. Tuttle Company,,None,2022,No,None,Male
Matsuo Basho's Haiku-Selected Poems by Matsuo Basho,David Landis Barnhill,Japanese,Poetry,Ebook,State University of New York Press,,None,2022,No,None,Male
Diary of Lady Murasaki,Murasaki Shikibu,Japanese,Non Fiction,Ebook,Penguin,,None,2022,No,None,Female
A String of flowers,Murasaki Shikibu,Japanese,Poetry,Ebook,Stone Bridge Press,,None,2022,No,None,Female
Tale of Genji,Murasaki Shikibu,Japanese,Prose,Ebook,Vintage classics,,None,2022,No,None,Female
On the shortness of life and on the happy life,Lucius Annaeus Seneca,Others,Prose,Ebook,Abbott ePublishing,,None,2023,Yes,Excellent,Male
The Art of Loving,Erich Fromm,English,Non Fiction,Ebook,Choun Publishing Co,,None,2023,Yes,Moderate,Male
Dostoevsky and the riddle of the self,Yuri Corrigan,English,Non Fiction,Ebook,Northwestern University Press,,None,2022,No,None,Male
Dostoevsky- A collection of critical Essays,Rene Wellek,English,Non Fiction,Ebook,"Prentice-Hall, Inc",,None,2023,Yes,Moderate,Male
Dostoevsky's Greatest Characters,Bernard J. Paris,English,Non Fiction,Ebook,Pelgrave Macmillan,,None,2022,Partially read,None,Male
"Dostoevsky, A Writer in His Time",Joseph Frank,English,Non Fiction,Ebook,Princeton University Press,,None,2022,No,None,Male
Fyodor Dostoevsky,Peter Conradi,English,Non Fiction,Ebook,St. Martin's Press,,None,2022,Partially read,None,Male
Fyodor Dostoevsky's Crime and Punishment-A Casebook,Richard Peace,English,Non Fiction,Ebook,Oxford University Press,,None,2022,Partially read,None,Male
